product_title,average_rating,total_reviews,review_author,review_rating,review_text
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,EIRA TRIANA,1,"I bought this iPhone and was a lime , the battery and the phone wasn’t unlocked."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,crystal,5,Yea
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Zoey b,5,It works and there wasn't a single scratch! It was also very well packaged!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jim B.,1,Got IPhone 7 right away. Never worked. Sent it back and over a week later am waiting on the re-fund.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,3,My notification doesn’t work on my messages that sucks but everything else is fine
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Gabby,4,it did NOT come with a sim card but overall good
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Carol cuneo,5,The first phone they sent me was defective. I messaged them. I sent it back and sent me a new one right away. They are very honest!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Natalie Henry,5,The phone is in excellent condition and I am satisfied with my purchase.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,T Mccullough,5,Seller is wonderful!! Bought this for my grandson but Verizon no longer supports a 7. I will definitely buy from again! Thank you 5 STAR SELLER!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Laurie Lundy,1,"While trying to charge the phone, it got extremely HOT! If it had not been removed in time it would have burned a spot on the wood table. It was so hot I was fearful it might catch on fire!"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,chrishunda holbert,1,I’m very upset with the company the phones will not allow FaceTime to work...had I known this I would not hve purchase theses phones from this company
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Erika Reyes,3,I thought the battery life would be better for the price I paid
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Justin,2,Amazon guaranteed that the battery capacity would be above 80% but it is only 75%
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Justin smith,1,Battery life dies fast and phone is already glitchy
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Bill Shull,5,Bought for granddaughter. It works great and took latest iOS updates
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Elizabeth Brightwell,5,Perfect! Just like new!!!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Patricia Morman,5,Like
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Sydnie white,1,"So I got this phone, when it originally came, it had more damage than what was listed so I returned it. The next one that came in had little to no damage so I was excited. However, after the 30 day return window (of course) the phone has been having all sorts of problems. I have audio issues with my phone on speaker, the keyboard gets stuck constantly, and the battery life is pretty much non-existent. Incredibly pissed I bought this for 230$ and now can only get 60$ if I sell it back. Just a warning, but if you buy your phone from here you are gambling with your money honestly. So just do a payment plan through your provider or get it from apple and spare yourself the frustration"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Shannon DeMarino,5,"I ordered this phone, already knowing that I didn't want an IPhone, unfortunately this phone got very hot very fast, luckily the seller is very understanding and very helpful. I am returning the phone for a refund. I have to say that the fingerprint sensor is great, as well as the touchscreen. As far as the battery goes, well it's an IPhone, be prepared to always have your charger with you. This would have been a great value for the money for sure, but unfortunately I couldn't deal with how hot the phone would get."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Andrew Clay,1,"The phone glitches all the time by itself, it clicks random things and loads random pages... Definitely not what I expected for what I paid"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,H. G.,4,Everything works well. Very happy. The best part was the new phone's ability to copy everything from my old phone! It was fast too!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,"Herman Pickens, shopper",5,I liked that this item is exactly what I wanted
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,LO,1,The phone has software issue which does not allow wifi usage.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Imaothog,1,Do not buy. Our phone software was faulty. The first update killed the phone per the Apple Store. Said it was a common problem with the 7's.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Juan P. Gomez,5,El teléfono está excelente no tengo ningún problema asta hora la batería es de larga duración y estaba desbloqueado cuando lo compre
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kimberly Manier,2,The battery arrived below (75 percent) the advertised level.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Stephani,1,I bought this phone to replace my sons old phone. Ever since he got it the battery will not keep a charge. Which upsets him very much
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Mo Cheeks,5,The iPhone 7 was in great condition. Just too small for my fingers to type accurately.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Andrea B.,4,"Overall good product! The cameras kind of glitches at times but it overall works. The battery dies very quickly, but it works perfectly fine even without a sim card. Very good product!"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,laura,1,Plugged it in today and transferred my data to the phone. Phone isn’t charging past 60 %. Going through battery settings shows the battery is severely compromised. I had to order a replacement battery off Amazon today. I would suggest avoiding purchasing a phone through this seller as quality control is clearly lacking.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,R. Riffer,1,Steer clear of this company and phone. Broke 4 days after the 90 day warranty expired.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Nicole Dennison,1,It did not come with a memory card or something heart. The battery life is really short on it. And when using it for a while or using it on the charger. The phone gets hot. Really hot. Total waste of money. And I hate the fact that i can't switch over already played games. On certain games. Because they are set up with a gmail account. Not a iCloud account.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,evelyn nunez,5,Si
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Shannon Bacon,1,"I bought this phone for Xmas for my daughter. Phone was in good condition, seller shipped it promptly, but overpriced, Communist Apple SUCKS and I hope their corporation tanks. Have a nice day."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,AlohaMahalo,5,Great deal! My son is happy
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Asia Morgan,5,I really like how the phone looks in works like new. It got here fast in works great my son really loves his phone. So Thank u very satisfied custumer..
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jazz Queen,4,"The phone was very nice looking phone, but I had to return the phone due to it was not compatible with my sprint network service."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Sandra Watkins,5,I purchased this phone for my nephew and it’s practically new. Everything works great. There weren’t any scratches or anything to the phone nor any issues with adding service to it. I use consumer cellular carrier and it works perfectly! Also a free case with quality screen protector came with it. I will definitely purchase from them again.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Franysmendez,5,"Entrega rápida, perfecto estado"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,jenn011711,4,"Was shipped late, but was notified. No issues with the phone."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Ivette,5,I bough this phone for my daughter birthday she turn 14 year’s old and she love’s her IPhone ❤️
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Katherine,5,Battery dies with in an hr or two and I have to keep it charging constantly
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Dayvonna,1,It’s broke
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Yas Johnson,4,Battery life was terrible
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jay,5,Hood
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Sasha,5,"It’s a GREAT phone!! I read the reviews and was kind of worried but it turned out great , my carrier lock provider was boost mobile but that’s a good thing because that’s my regular provider. The only thing is that it doesn’t come with a sim card which is no big deal for me. But all in all it’s a great phone and I am happy with the price because I bought 2 phones for the price of 290 or 300 I believe"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,5,"Always go with the refurbished phones on Amazon. Good value for the money. Nice phone, works well, better camera. I did not like that for it being refurbished that a brand new battery was not installed. It did have 95% life but I think that a new battery should always be part of the refurbishing. It should come with 100% life. Otherwise no complaints"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Tony Hensley,2,When you put the phone to your ear to listen you can hardly hear them it’s real low and it’s all the way up does that mean it’s broken probably cuz my case was broken also
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,r3d5,5,"The iPhone 7 I received works well. I tested it fully & installed the latest OS (as of today it is iOS 14.4) and found no problems. Cosmetically it is also in good shape. I think my seller replaced the battery too, because it says ""100%"" capacity in settings. Much to my delight, it also works with Verizon, as I intended to only use it as a wifi tablet (I love computers & devices and wanted a pocket computer that has stereo speakers). I don't know if it works on all other networks, but in the settings it says ""No Sim Restrictions"" so I assume it does. Just be careful when buying any iPhone- message the seller and make sure they confirm it works on your network. That way if it doesn't, you can say you asked before. Note: I'm using the iPhone 7 I got as a tablet, so in the picture I shared it says ""No Sim."" But mine works with Verizon, as I tested it already."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jackie,1,The speaker did not work
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Sandy lewis,5,Perfect
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kaylen Griggs,1,The phone lasted less than 2 months. I will never buy another phone or electronic device from Amazon again
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Martine,5,Phone is in great condition. Plenty of storage!!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Rikayla m Mitchell,5,My flashlight work every single thing work its like i just bought a new phone
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Laurie in Alaska,5,New phone not a bad price tag
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Brittany & Sean,4,"Renewed is not new. This phone lasted about 8 months before the charger stopped working right. Bought every charger made and nothing made difference, However it still works just chargers super slow and super picky how it chargers."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Stefanie,4,Battery life isn't good. Haven't had for a couple weeks and it's telling us to replace low battery capacity. Other than that very nice phone but iPhone batteries are not cheap to replace. Correction! They made it right!!!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Summer,1,"The phone doesn’t hold a charge and the charger didn’t work, I tried to contact the seller and they never replied!"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Michael,1,Only the home button works. The touch screen is inoperable. Returning the phone for a refund.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Christopher Rafter,3,"Ok so LUCKILY I ordered this iPhone for the sake of a quality WiFi device so my issue isn’t TERRIBLE. Upon receiving the phone and setting it up and using it with flying colors, I discover that the SIM tray was literally glued shut for WHATEVER reason. So, Even if I wanted to activate it as a serviced phone, I couldn’t. Ultimately, I’m not mad but I still would have loved to save a 20 dollar bill for the inconvenience... That’s what happens when you buy a refurbished product online, you hope for the best and expect the worst. It happens from time to time even in face to face transactions."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Luisanna Zamora,5,The product is working as expected for an iphone. I purchased the phone for an att prepaid plan for my mother and had no barriers or issues with connection. The quality is great for a Refurbished phone.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Loise,1,The phone cannot keep charge.NOT A GOOD ONE
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Leanthia Lewis,1,After a week with the phone it stopped working after trying to update on itunes. First time buying an iphone from here and it was just a waste of money
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,JenA,5,Thanks! Good price for what I received!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Christine Taylor,5,The camera works great.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Gloria paz,3,Se recalienta la batería y se descarga rápido
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,1,The phone will not charge and its always at 1% and always have to be plugged in. It’s ridiculous and unsafe for use. I need a refund or a replacement. Plugged in overnight and still no charge greater than1%
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Matt,5,Battery health was at 85% of original capacity which was well within range. Overall the phone worked great. I’m very satisfied
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Iiiiiinny,1,"The screen doesn't work. It's really frustrating to have received this with 0 battery and life and then when I decided to charge and install updates, the screen is completely unresponsive. I don't even know what to do at this point besides refund it. Trust the bad reviews and stay away."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,alexis,5,Everything came as described and it arrived on time and it works excellent no problems at all my daughter absolutely loves her new phone
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Carleone,1,"Agregó la foto para que observen que la batería está en estado para mantenimiento, por lo tanto el celular se descarga en 4 horas o menos."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,ashley,5,My phone was fully unlocked as promised. Everything works great in the phone . No problems what so ever. Everything on the phone works like a brand new one. I go through Appalachian wireless. Which is the cdma network and my SIM card worked perfectly. I would recommend buying this phone from this seller to anyone. NOTE:(not all phones sold on Amazon are from the same seller).
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Candace,5,Not many businesses out there actually beat Amazon delivery speeds but oh this one did! My daughter lost her phone and we were trying to get one here before the weekend and Avant came through and a day early I might add. The phone is in perfect condition battery is charging without problems and holds a charge. No defects or imperfections or anything. The charger is new and works.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Phil,3,It's ok
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kevin b.,2,Gets hot quick
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Betania,5,Muy buena
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,shyla,1,"DO NOT BUY THIS “renewed” phone. It has a known antenna issue. If it is working for you, beware that you might be one iOS update away from owning a BRICK! My family got this for me for Father’s Day and it bricked at iOS 14.1. Went into a constant “verifying update”. When I did a hard reset, a message- can’t connect to carrier came up....too many issues. Took it to Apple and they very kindly agreed to try to fix the known issue but warned me the phone may have after market parts that might preclude them from the repair....we will see in 10 days. Either way...Dont Do It! Or...spend some extra on extended warranty if it’s available. This phone WILL fail."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Robert D Evans,1,"Customer service, puts the burden on you, when they sold you a defective product."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Bryce T.,1,My son saved his money up to get this phone and only 1 year later the phone is now a brick and apple will do nothing without paying 359.00 to fix the manufacturing defect that these sellers phones seem to have.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,1,battery health came way below at 76% it was advertised as 80%
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Marie Anatacha,5,Wow 🔟 out of 🔟
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,ReNita J,1,Phone does not ring at all.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,James Gil,5,"The iphone looks like new, amazing. The life's battery was 78% so, thats not good but its ok."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,J l Wagner,5,Bought this for my husband who is going to be 80. His hearing aides would only work with the Iphones. We are so happy we choose this phone. You will not be sorry in this purchase.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kuilani,5,Battery life lasts an hour. But was well packaged and arrived on time.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jaelen,1,"I bought this for my girlfriend awhile ago and the touch screen didn't work. We tried restarting the phone to no avail. Please do not waste your money this phone, it does not work."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Joy Holden,5,Love it
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Serge Tkach,5,AS ADVERTISED!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Richard Howard,5,Great phone for my daughter
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,1,This phone would say it was changed at 100% and soon as you took it off the charger the phone would die. Did not hold charge and some random button was on the screen and there was no way of getting rid of it. If I could give this item zero stars that’s what it would have got. Seller on the other hand responded quickly and was very understanding.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Liz,5,Good color condition as in the picture
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jfry1,5,Got here 2 days early overall so far I am happy with this present I bought for lil bro.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Julie Coates,5,"Nice phone, was refurbished but in great condition"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Odysseus Quinones,5,Good camera quality and storage great for my lil sister
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kaykay,1,The battery health was very low
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,alex,1,This is a useless phone now thanks to ios
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Joy David Barman,1,Damage and break at cam side backside.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Melissa Mincer,1,The phone does not work properly it heats up so hot every time we try and use it .
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,holly drew,1,This phone worked for two weeks have been asking for a return and have even been replied to.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,susan,5,The speaker was bad
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,5,Phone calls
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Clay Jaques,5,"I got it and it is absolutely amazing. I bought it as a backup and I've found myself using it instead of my iPhone 11. It's really nice and I was surprised to see a 95% battery life. No damage to it or anything! I wouldn't say to ignore the bad reviews, but I got it really good!"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,KayBo,4,Everything was good except the battery came to me at 80% capacity. So when it charges to 💯 it’s never better than 80%. The seller offered me a 20.00 credit but I can’t find an authorized dealer to change the battery. 🤷‍♀️
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,2,"Product came early, which was great. However, It has a mind of its own. It powers down when in use. It doesn't hold a charge. I plan to return it."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,AnnaDeVill,5,Great condition.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Douglas,1,"I bought the phone for my daughter and she had nothing put problems . When she sends it back to me , I will be returning it"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Raven 242,1,The mother board in the phone isn’t working so it isn’t giving no signal . This phone is trash never buying again i need a refund
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,TopCityIT,4,The iPhone physically was in near perfect condition. I did find that the battery health had a maximum percentage of only 80% which can be expected for a used phone but does require it to be on a charger if used even just moderately in order to last a typical 14 hr day
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,destine,5,battery dies quick . sometimes but other than that it’s okay
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,kenny m.,1,Was very unhappy with my purchase. Got it as a gift for my gf. When she went to activate it the carrier said the phone was defective. Not worth buying
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Aidan,1,Product stopped receiving service after 6 months. Only works on Wifi. Terrible product
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,5,My grandson loves it!!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kort cook,2,It only works for T-Mobile and we don’t get there service where I live
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Amazon Customer,5,"battery wont hold charge anymore, just bought couple months ago"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Akeem,3,The charger port wouldn’t hold my charger in place
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Seaside,3,Looks like new and good battery life but screen had some over saturated pixels. You can only see it on light colors. Not perfect but this is for a senior citizen who won’t otherwise see it.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Carolyn Whitman,3,Battery doesn't last very long. It's disappointing.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Rodney A Mayo,3,Being a used phone watch out for battery life the batteries are not changed out on used phones so they won’t have the normal battery life.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Precious,2,It was a gift to my sister and she said the batter does not last her even though she charges it to 100%
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Alyssa garza,2,i like the product of apple works okay but the battery sucks wish i could get my money back but oh well
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,K'LARA JOHNSON,2,The phone only works if you have on AirPods ☹️
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jovon Johnson,4,One of the speakers is fried but works great
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,angelo,1,Products not unlocked apond buying
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Sara Mendoza,5,I ordered this phone for my daughter she loves it definitely would buy!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Yea I’m her,5,So I just got the phone a few days ago and so far so good with exception of the battery life..... I will order a new battery for 13 and install myself (ANYONE can do it) Everything works perfect. I will update in a month
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Taylor Boeding,4,The battery life doesn’t last long and it doesn’t really go all the way to 0% it’ll shut off after 14% now I have been on my phone for a good 26 minutes and it’s stuck on 46% so far the compatibility it works for aT&t. But it will shut off on me when the battery is low no notice just does it randomly
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Pattie,5,"So far, very pleased with this purchase."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Joann Young,2,Battery life didnt last a day...crappy crappy crappy battery
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jon,3,"What looked amazing, phone screen had no micro scratches and the edges and charging port was flawless. The battery didn't work. Said I'd get a phone with at least 80% and it showed up at 75%. I'd be okay with it but the idle drain was pretty bad."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jose,4,#NAME?
